#doc=loveyourself.2.txt;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Вздох;ВЗДОХ;-;;;х;о;д;з;в;;S;ВЗДОХ;S m inan nom sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
2;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
3;хотят;ХОТЕТЬ;V ipf praes pl indic - 3p;;;т;я;т;о;х;;V;ХОТЕТЬ;V ipf praes pl indic - 3p
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;ведь;ВЕДЬ;CONJ;;;ь;д;е;в;;;CONJ;ВЕДЬ;CONJ
6;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
7;кто;КТО;S m - nom sg;;;о;т;к;;;;S;КТО;S m - nom sg
8;так;ТАК;ADVPRO -;;;к;а;т;;;;ADV;ТАК;ADV -
9;делает;ДЕЛАТЬ;V ipf praes sg indic - 3p;;;т;е;а;л;е;д;V;ДЕЛАТЬ;V ipf praes sg indic - 3p
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;да;ДА;PART;;;а;д;;;;;PART;ДА;PART
12;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;Все;ВЕСЬ;APPRO - nom pl  - -;;;е;с;в;;;;A;ВЕСЬ;A - nom pl plen - -
2;юристы;ЮРИСТ;S m anim nom pl;;;ы;т;с;и;р;ю;S;ЮРИСТ;S m anim nom pl
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;значит;ЗНАЧИТ;PARENTH;;;т;и;ч;а;н;з;ADV;ЗНАЧИТ;ADV -
5;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
6;тоже;ТОЖЕ;PART;;;е;ж;о;т;;;PART;ТОЖЕ;PART
7;должен;ДОЛЖНЫЙ;A - - sg brev m -;;;н;е;ж;л;о;д;A;ДОЛЖНЫЙ;A - - sg brev m -
8;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
9;юристом;ЮРИСТ;S m anim ins sg;;;м;о;т;с;и;р;S;ЮРИСТ;S m anim ins sg
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;аа..;А;INTJ;раздельно с многоточием;;;;а;а;;;NONLEX;АА..;NONLEX
12;нуу..;НУ;INTJ;DISTORT, раздельно с многоточием;;;;у;у;н;;S;НУУ..;S m anim nonflex nonflex
13;в;В;PR;;;в;;;;;;PR;В;PR
14;таком;ТАКОЙ;APPRO - loc sg  m -;;;м;о;к;а;т;;A;ТАКОЙ;A - loc sg plen m -
15;духе;ДУХ;S m inan loc sg;;;е;х;у;д;;;S;ДУХ;S m inan loc sg
16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
17;ведь;ВЕДЬ;CONJ;;;ь;д;е;в;;;CONJ;ВЕДЬ;CONJ
18;все;ВСЕ;SPRO - - nom pl;;;е;с;в;;;;S;ВСЕ;S - - nom pl
19;боятся;БОЯТЬСЯ;V ipf praes pl indic - 3p;;;я;с;т;я;о;б;V;БОЯТЬСЯ;V ipf praes pl indic - 3p
20;неудач;НЕУДАЧА;S f inan gen pl;;;ч;а;д;у;е;н;S;НЕУДАЧА;S f inan gen pl
21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
22;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
23;на;НА;PR;;;а;н;;;;;PR;НА;PR
24;самом;САМЫЙ;APPRO - loc sg plen n -;;;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -
25;деле;ДЕЛО;S n inan loc sg;;;е;л;е;д;;;S;ДЕЛО;S n inan loc sg
26;все;ВЕСЬ;APPRO - - nom pl;;;е;с;в;;;;A;ВЕСЬ;A - nom pl plen - -
27;великие;ВЕЛИКИЙ;A - nom pl plen - -;;;е;и;к;и;л;е;A;ВЕЛИКИЙ;A - nom pl plen - -
28;люди;ЧЕЛОВЕК;S m anim nom pl;;;и;д;ю;л;;;S;ЧЕЛОВЕК;S m anim nom pl
29;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
30;потерпели;ПОТЕРПЕТЬ;V pf praet pl indic - -;;;и;л;е;п;р;е;V;ПОТЕРПЕТЬ;V pf praet pl indic - -
31;просто;ПРОСТО;PART;;;о;т;с;о;р;п;PART;ПРОСТО;PART
32;грандиозные;ГРАНДИОЗНЫЙ;A - acc pl plen - -;;;е;ы;н;з;о;и;A;ГРАНДИОЗНЫЙ;A - nom pl plen - -
33;неудачи;НЕУДАЧА;S f inan acc pl;;;и;ч;а;д;у;е;S;НЕУДАЧА;S f inan nom pl
34;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;А;А;INTJ;;;а;;;;;;CONJ;А;CONJ
4;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
5;тот;ТОТ;APPRO - nom sg m -;;;т;о;т;;;;A;ТОТ;A - nom sg plen m -
6;же;ЖЕ;PART;;;е;ж;;;;;PART;ЖЕ;PART
7;самый;САМЫЙ;APPRO - nom sg plen m -;;;й;ы;м;а;с;;A;САМЫЙ;A - nom sg plen m -
8;Уолт;УОЛТ;S m anim nom sg persn;;;т;л;о;у;;;S;УОЛТ;S m anim nom sg
9;Дисней;ДИСНЕЙ;S m anim nom sg famn;;;й;е;н;с;и;д;S;ДИСНЕЙ;S m anim nom sg
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;его;ОН;SPRO sg 3p m acc;;;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc
12;увольняли;УВОЛЬНЯТЬ;V ipf praet pl indic - -;;;и;л;я;н;ь;л;V;УВОЛЬНЯТЬ;V ipf praet pl indic - -
13;с;С;PR;;;с;;;;;;PR;С;PR
14;работы;РАБОТА;S f inan gen sg;;;ы;т;о;б;а;р;S;РАБОТА;S f inan gen sg
15;за;ЗА;PR;;;а;з;;;;;PR;ЗА;PR
16;недостаток;НЕДОСТАТОК;S m inan acc sg;;;к;о;т;а;т;с;S;НЕДОСТАТОК;S m inan acc sg
17;фантазии;ФАНТАЗИЯ;S f inan gen sg;;;и;и;з;а;т;н;S;ФАНТАЗИЯ;S f inan gen sg
18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
19;в;В;PR;;;в;;;;;;PR;В;PR
20;итоге;ИТОГ;S m inan loc sg;;;е;г;о;т;и;;S;ИТОГ;S m inan loc sg
21;у;У;PR;;;у;;;;;;PR;У;PR
22;него;ОН;SPRO sg 3p m gen;;;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc
23;аа;А;INTJ;;;а;а;;;;;NONLEX;АА;NONLEX
24;…;…;SENT;;;;;;;;;SENT;…;SENT
;;;;;;;;;;;;;;
1;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
2;Микки;МИККИ;S m anim acc persn;;;и;к;к;и;м;;S;МИККИ;S m anim nonflex nonflex
3;Маус;МАУС;S m anim acc famn;;;с;у;а;м;;;S;МАУС;S m anim nom sg
4;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
7;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
8;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
9;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
10;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
11;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
12;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
13;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
14;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
15;к;К;nONLEX;слитно;;к;;;;;;S;К;S - - nonflex nonflex
16;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
17;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
18;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;канал;КАНАЛ;S m inan acc sg;;;л;а;н;а;к;;S;КАНАЛ;S m inan nom sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;канал;КАНАЛ;S m inan nom sg;;;л;а;н;а;к;;S;КАНАЛ;S m inan nom sg
2;Дисней;ДИСНЕЙ;S m anim nom sg;;;й;е;н;с;и;д;S;ДИСНЕЙ;S m anim nom sg
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;это;ЭТО;SPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
5;имеет;ИМЕТЬ;V ipf praes sg indic - 3p;;;т;е;е;м;и;;V;ИМЕТЬ;V ipf praes sg indic - 3p
6;его;ОН;APPRO m acc sg;;;о;г;е;;;;A;ЕГО;A - nonflex nonflex plen - -
7;фамилию;ФАМИЛИЯ;S f inan acc sg;;;ю;и;л;и;м;а;S;ФАМИЛИЯ;S f inan acc sg
8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
9;поэтому;ПОЭТОМУ;ADV -;;;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -
10;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
11;считаю;СЧИТАТЬ;V ipf praes sg indic - 1p;;;ю;а;т;и;ч;с;V;СЧИТАТЬ;V ipf praes sg indic - 1p
12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
13;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
14;людям;ЧЕЛОВЕК;S m anim dat pl;;;м;я;д;ю;л;;S;ЧЕЛОВЕК;S m anim dat pl
15;нужно;нужно;PRAEDIC;в некоторых источниках нужно может быть категорией состояния;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
16;больше;МНОГО;ADV comp;;;е;ш;ь;л;о;б;ADV;МНОГО;ADV comp
17;верить;ВЕРИТЬ;V ipf - - inf - -;;;ь;т;и;р;е;в;V;ВЕРИТЬ;V ipf - - inf - -
18;в;В;PR;;;в;;;;;;PR;В;PR
19;себя;СЕБЯ;SPRO - - - acc;;;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc
20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
21;нужно;НУЖНО;PRAEDIC;в некоторых источниках нужно может быть категорией состояния;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
22;больше;МНОГО;ADV comp;;;е;ш;ь;л;о;б;ADV;МНОГО;ADV comp
23;любить;ЛЮБИТЬ;V ipf - - inf - -;;;ь;т;и;б;ю;л;V;ЛЮБИТЬ;V ipf - - inf - -
24;себя;СЕБЯ;SPRO - - - acc;;;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc
25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
26;может;МОЧЬ;V ipf praes sg indic - 3p;;;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p
27;быть;БЫТЬ;V ipf - - inf - -;;;ь;т;ы;б;;;V;БЫТЬ;V ipf - - inf - -
28;тогда;ТОГДА;ADV -;;;а;д;г;о;т;;ADV;ТОГДА;ADV -
29;наш;НАШ;APPRO - nom sg  m -;;;ш;а;н;;;;A;НАШ;A - nom sg plen m -
30;мир;МИР;S m inan nom sg;;;р;и;м;;;;S;МИР;S m inan nom sg
31;изменится;ИЗМЕНИТЬСЯ;V pf fut sg indic - 3p;;;я;с;т;и;н;е;V;ИЗМЕНИТЬСЯ;V pf fut sg indic - 3p
32;в;В;PR;;;в;;;;;;PR;В;PR
33;лучшую;ЛУЧШИЙ;A supr acc sg plen f -;;;ю;у;ш;ч;у;л;A;ЛУЧШИЙ;A supr acc sg plen f -
34;сторону;СТОРОНА;S f inan acc sg;;;у;н;о;р;о;т;S;СТОРОНА;S f inan acc sg
35;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36;тогда;ТОГДА;ADV -;;;а;д;г;о;т;;ADV;ТОГДА;ADV -
37;может;МОЧЬ;V ipf praes sg indic - 3p;;;т;е;ж;о;м;;V;МОЧЬ;V ipf praes sg indic - 3p
38;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
39;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
40;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
41;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
42;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
43;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
44;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
45;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
46;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Усмешка;УСМЕШКА;-;;;а;к;ш;е;м;с;S;УСМЕШКА;S f inan nom sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
3;люди;ЧЕЛОВЕК;S m anim nom pl;;;и;д;ю;л;;;S;ЧЕЛОВЕК;S m anim nom pl
4;будут;БЫТЬ;V ipf fut pl indic - 3p;;;т;у;д;у;б;;V;БЫТЬ;V ipf praes pl indic - 3p
5;наконец;НАКОНЕЦ;ADV/ PARENTH;;;ц;е;н;о;к;а;ADV;НАКОНЕЦ;ADV -
6;счастливы;СЧАСТЛИВЫЙ;A - - pl brev - -;;;ы;в;и;л;т;с;A;СЧАСТЛИВЫЙ;A - - pl brev - -
7;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
8;перестанут;ПЕРЕСТАТЬ;V pf fut pl indic - 3p;;;т;у;н;а;т;с;V;ПЕРЕСТАТЬ;V pf fut pl indic - 3p
9;винить;ВИНИТЬ;V ipf - - inf - -;;;ь;т;и;н;и;в;V;ВИНИТЬ;V ipf - - inf - -
10;в;В;PR;;;в;;;;;;PR;В;PR
11;своих;СВОЙ;APPRO - loc pl  - -;;;х;и;о;в;с;;A;СВОЙ;A - loc pl plen - -
12;проблемах;ПРОБЛЕМА;S f inan loc pl;;;х;а;м;е;л;б;S;ПРОБЛЕМА;S f inan loc pl
13;других;ДРУГОЙ;A - acc pl plen - -;;;х;и;г;у;р;д;A;ДРУГОЙ;A - gen pl plen - -
14;людей;ЧЕЛОВЕК;S m anim acc pl;;;й;е;д;ю;л;;S;ЧЕЛОВЕК;S m anim gen pl
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
17;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
18;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
19;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
20;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
21;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
22;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
23;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
24;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25;потомушо;ПОТОМУ ЧТО;ADV -;DISTORT, не согласна с разметкой.ZERO;;о;ш;у;м;о;т;ADV;ПОТОМУШО;ADV -
26;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
27;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
28;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;потому что;потому что;ZERO;;;о;т;ч;;у;м;ZERO;потому что;ZERO
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;на;НА;PR;;;а;н;;;;;PR;НА;PR
2;самом;САМЫЙ;APPRO - loc sg plen n -;;;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -
3;деле;ДЕЛО;S n inan loc sg;;;е;л;е;д;;;S;ДЕЛО;S n inan loc sg
4;все; ВЕСЬ;SPRO - - nom sg;;;е;с;в;;;;S;ВСЕ;S - - acc pl
5;исходит;ИСХОДИТЬ;V ipf praes sg indic - 3p;;;т;и;д;о;х;с;V;ИСХОДИТЬ;V ipf praes sg indic - 3p
6;из;ИЗ;PR;;;з;и;;;;;PR;ИЗ;PR
7;нас;МЫ;SPRO pl 1p - gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
9;из;ИЗ;PR;;;з;и;;;;;PR;ИЗ;PR
10;того;ТО;S  - gen sg;;;о;г;о;т;;;S;ТО;S n - gen sg
11;как;КАК;CONJ;;;к;а;к;;;;CONJ;КАК;CONJ
12;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
13;смотрим;СМОТРЕТЬ;V ipf praes pl indic - 1p;;;м;и;р;т;о;м;V;СМОТРЕТЬ;V ipf praes pl indic - 1p
14;на;НА;PR;;;а;н;;;;;PR;НА;PR
15;все;ВЕСЬ;APPRO - acc pl plen - inan;;;е;с;в;;;;A;ВЕСЬ;A - acc pl plen - inan
16;ситуации;СИТУАЦИЯ;S f inan acc pl;;;и;и;ц;а;у;т;S;СИТУАЦИЯ;S f inan acc pl
17;наши;НАШ;APPRO - acc pl plen - inan;;;и;ш;а;н;;;A;НАШ;A - acc pl plen - inan
18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
21;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
22;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
23;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
24;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
26;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
27;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
28;жизэнные;ЖИЗНЕННЫЙ;A - acc pl plen - -;DISTORT;;е;ы;н;н;э;з;A;ЖИЗЭННЫЙ;A - nom pl plen - -
29;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
30;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
31;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;жизненные;ЖИЗНЕННЫЙ;A - acc pl plen - ;;;е;ы;н;н;е;н;A;ЖИЗНЕННЫЙ;A - acc pl plen - inan
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;То есть;То есть;-;раздельно ;;ь;т;с;е;;о;-;То есть;-
4;аа..;А;INTJ;раздельно с многоточием;;;;а;а;;;NONLEX;АА..;NONLEX
5;если;ЕСЛИ;CONJ;;;и;л;с;е;;;CONJ;ЕСЛИ;CONJ
6;с;С;PR;;;с;;;;;;PR;С;PR
7;тобой;ТЫ;SPRO sg 2p - ins;;;й;о;б;о;т;;SPRO;ТЫ;SPRO sg 2p - ins
8;происходит;ПРОИСХОДИТЬ;V ipf praes sg indic - 3p;;;т;и;д;о;х;с;V;ПРОИСХОДИТЬ;V ipf praes sg indic - 3p
9;что-то;ЧТО-ТО;SPRO  - nom;;;о;т;;о;т;ч;S;ЧТО-ТО;S n - nom sg
10;плохое;ПЛОХОЙ;A - nom sg plen n -;;;е;о;х;о;л;п;A;ПЛОХОЙ;A - nom sg plen n -
11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
12;это;ЭТО;SPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
13;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
14;значит;ЗНАЧИТЬ;V ipf praes sg indic - 3p;;;т;и;ч;а;н;з;V;ЗНАЧИТЬ;V ipf praes sg indic - 3p
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
17;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
18;должен;ДОЛЖНЫЙ;A - - sg brev m -;;;н;е;ж;л;о;д;A;ДОЛЖНЫЙ;A - - sg brev m -
19;погружаться;ПОГРУЖАТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;а;ж;V;ПОГРУЖАТЬСЯ;V ipf - - inf - -
20;в;В;PR;;;в;;;;;;PR;В;PR
21;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
22;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
23;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
24;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
25;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
26;депрээээсссию;Депрессия;S f inan acc sg;distort;;ю;и;с;с;с;э;S;ДЕПРЭЭЭЭСССИЯ;S f - acc sg
27;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
28;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
29;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;депрессию;ДЕПРЕССИЯ;S f inan acc sg;;;ю;и;с;с;е;р;S;ДЕПРЕССИЯ;S f inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;или;ИЛИ;CONJ;;;и;л;и;;;;CONJ;ИЛИ;CONJ
2;просто;ПРОСТО;PART;;;о;т;с;о;р;п;ADV;ПРОСТО;ADV -
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
7;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Смех;СМЕХ;-;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
